NV_Warning: Ignoring the invalid profiler config option: instructions
# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_DEVICE 0 Tesla S2050
# CUDA_CONTEXT 1
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6a1b6f59138
method,gputime,cputime,threadblocksizeX,threadblocksizeY,threadblocksizeZ,dynsmemperblock,stasmemperblock,regperthread,occupancy,memtransfersize,memtransferdir
memcpyHtoD,1.440,71.000,,,,,,,,48,1
memcpyHtoD,58.848,124.000,,,,,,,,345600,1
memcpyHtoD,171.072,463.000,,,,,,,,1036800,1
memcpyHtoD,170.624,450.000,,,,,,,,1036800,1
memcpyHtoD,638.688,897.000,,,,,,,,2073600,1
memcpyHtoD,170.496,412.000,,,,,,,,1036800,1
memcpyHtoD,58.688,138.000,,,,,,,,345600,1
memcpyHtoD,58.752,135.000,,,,,,,,345600,1
memcpyHtoD,58.624,136.000,,,,,,,,345600,1
memcpyHtoD,170.592,391.000,,,,,,,,1036800,1
memcpyHtoD,170.528,398.000,,,,,,,,1036800,1
memcpyHtoD,170.368,389.000,,,,,,,,1036800,1
memcpyHtoD,170.400,406.000,,,,,,,,1036800,1
memcpyHtoD,1.792,11.000,,,,,,,,8576,1
memcpyHtoD,1.792,10.000,,,,,,,,8576,1
memcpyHtoD,1.760,9.000,,,,,,,,8576,1
memcpyHtoD,58.752,133.000,,,,,,,,345600,1
memcpyHtoD,58.624,132.000,,,,,,,,345600,1
memcpyHtoD,58.560,132.000,,,,,,,,345600,1
memcpyHtoD,58.624,134.000,,,,,,,,345600,1
compute_fluxes_central_structure_MeCo,632.544,25.000,32,1,1,0,2304,63,0.167
memcpyDtoH,2.240,53.000,,,,,,,,48,2
memcpyDtoH,55.488,231.000,,,,,,,,345600,2
memcpyDtoH,54.848,230.000,,,,,,,,345600,2
memcpyDtoH,53.984,229.000,,,,,,,,345600,2
memcpyDtoH,53.984,229.000,,,,,,,,345600,2
memcpyDtoH,53.984,293.000,,,,,,,,345600,2
memcpyHtoD,1.440,66.000,,,,,,,,48,1
memcpyHtoD,59.072,106.000,,,,,,,,345600,1
memcpyHtoD,171.008,432.000,,,,,,,,1036800,1
memcpyHtoD,170.432,445.000,,,,,,,,1036800,1
memcpyHtoD,686.752,954.000,,,,,,,,2073600,1
memcpyHtoD,170.496,416.000,,,,,,,,1036800,1
memcpyHtoD,58.592,141.000,,,,,,,,345600,1
memcpyHtoD,58.720,138.000,,,,,,,,345600,1
memcpyHtoD,58.688,138.000,,,,,,,,345600,1
memcpyHtoD,170.336,395.000,,,,,,,,1036800,1
memcpyHtoD,170.400,391.000,,,,,,,,1036800,1
memcpyHtoD,170.368,389.000,,,,,,,,1036800,1
memcpyHtoD,170.496,388.000,,,,,,,,1036800,1
memcpyHtoD,1.760,11.000,,,,,,,,8576,1
memcpyHtoD,1.856,9.000,,,,,,,,8576,1
memcpyHtoD,1.792,11.000,,,,,,,,8576,1
memcpyHtoD,58.752,133.000,,,,,,,,345600,1
memcpyHtoD,58.624,133.000,,,,,,,,345600,1
memcpyHtoD,58.624,138.000,,,,,,,,345600,1
memcpyHtoD,58.752,135.000,,,,,,,,345600,1
_flux_function_central_2,650.048,18.000,32,1,1,0,2304,63,0.167
memcpyDtoH,2.240,53.000,,,,,,,,48,2
memcpyDtoH,55.456,232.000,,,,,,,,345600,2
memcpyDtoH,54.912,230.000,,,,,,,,345600,2
memcpyDtoH,54.016,229.000,,,,,,,,345600,2
memcpyDtoH,54.016,233.000,,,,,,,,345600,2
memcpyDtoH,54.016,291.000,,,,,,,,345600,2
