NV_Warning: Ignoring the invalid profiler config option: instructions
# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_DEVICE 0 Tesla S2050
# CUDA_CONTEXT 1
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6a1ac9f4898
method,gputime,cputime,threadblocksizeX,threadblocksizeY,threadblocksizeZ,dynsmemperblock,stasmemperblock,regperthread,occupancy,memtransfersize,memtransferdir
memcpyHtoD,1.408,74.000,,,,,,,,48,1
memcpyHtoD,58.688,123.000,,,,,,,,345600,1
memcpyHtoD,170.656,486.000,,,,,,,,1036800,1
memcpyHtoD,170.560,450.000,,,,,,,,1036800,1
memcpyHtoD,614.816,899.000,,,,,,,,2073600,1
memcpyHtoD,170.304,406.000,,,,,,,,1036800,1
memcpyHtoD,58.912,137.000,,,,,,,,345600,1
memcpyHtoD,58.976,138.000,,,,,,,,345600,1
memcpyHtoD,58.688,138.000,,,,,,,,345600,1
memcpyHtoD,170.528,391.000,,,,,,,,1036800,1
memcpyHtoD,170.496,392.000,,,,,,,,1036800,1
memcpyHtoD,170.560,389.000,,,,,,,,1036800,1
memcpyHtoD,170.144,389.000,,,,,,,,1036800,1
memcpyHtoD,1.760,11.000,,,,,,,,8576,1
memcpyHtoD,1.792,10.000,,,,,,,,8576,1
memcpyHtoD,1.792,9.000,,,,,,,,8576,1
memcpyHtoD,58.752,132.000,,,,,,,,345600,1
memcpyHtoD,58.656,146.000,,,,,,,,345600,1
memcpyHtoD,58.720,133.000,,,,,,,,345600,1
memcpyHtoD,58.624,133.000,,,,,,,,345600,1
_flux_function_central_2,382.912,24.000,32,5,1,0,2304,63,0.208
memcpyDtoH,2.240,52.000,,,,,,,,48,2
memcpyDtoH,55.424,240.000,,,,,,,,345600,2
memcpyDtoH,54.816,8550.000,,,,,,,,345600,2
memcpyDtoH,53.920,231.000,,,,,,,,345600,2
memcpyDtoH,53.952,229.000,,,,,,,,345600,2
memcpyDtoH,54.432,294.000,,,,,,,,345600,2
